"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 20 08:33:25 UTC 2022","Thu Oct 20 08:33:28 UTC 2022","2474","firefox","example.spec.js","","","","homepage has Playwright in title and get started link linking to the intro page",""
"passed","Thu Oct 20 08:33:24 UTC 2022","Thu Oct 20 08:33:25 UTC 2022","1006","chromium","example.spec.js","","","","homepage has Playwright in title and get started link linking to the intro page",""
"passed","Thu Oct 20 08:33:29 UTC 2022","Thu Oct 20 08:33:33 UTC 2022","3671","webkit","example.spec.js","","","","homepage has Playwright in title and get started link linking to the intro page",""
